iter	Passed	Remaining
0	144	144769
1	148	73936
2	152	50594
3	156	39058
4	161	32083
5	165	27479
6	169	24068
7	174	21597
8	178	19636
9	182	18091
10	186	16783
11	191	15756
12	196	14907
13	200	14118
14	205	13521
15	211	13004
16	217	12547
17	222	12122
18	226	11719
19	231	11367
20	237	11067
21	241	10753
22	247	10504
23	252	10281
24	257	10056
25	263	9861
26	268	9687
27	274	9515
28	279	9355
29	284	9208
30	289	9059
31	294	8895
32	298	8741
33	303	8611
34	307	8488
35	313	8398
36	319	8315
37	324	8213
38	329	8122
39	334	8031
40	340	7958
41	345	7885
42	350	7809
43	355	7732
44	360	7657
45	365	7571
46	369	7497
47	374	7421
48	379	7358
49	384	7304
50	388	7232
51	394	7190
52	398	7128
53	404	7080
54	410	7048
55	415	6996
56	419	6941
57	425	6908
58	429	6857
59	435	6826
60	440	6777
61	445	6736
62	451	6715
63	456	6671
64	461	6636
65	466	6606
66	471	6561
67	476	6532
68	481	6496
69	486	6458
70	491	6428
71	495	6380
72	500	6355
73	505	6325
74	510	6295
75	515	6263
76	519	6228
77	524	6197
78	530	6186
79	534	6151
80	539	6123
81	546	6115
82	550	6080
83	554	6052
84	560	6038
85	564	6004
86	570	5982
87	574	5949
88	579	5931
89	583	5896
90	588	5881
91	593	5858
92	597	5829
93	602	5808
94	606	5780
95	611	5759
96	615	5730
97	620	5708
98	623	5678
99	628	5654
100	633	5641
101	638	5619
102	642	5597
103	647	5579
104	652	5559
105	655	5531
106	660	5514
107	665	5495
108	669	5471
109	673	5447
110	677	5428
111	682	5409
112	687	5393
113	692	5378
114	696	5357
115	699	5334
116	703	5308
117	707	5289
118	711	5265
119	716	5253
120	721	5239
121	724	5216
122	728	5197
123	732	5177
124	737	5163
125	743	5155
126	747	5140
127	752	5127
128	756	5109
129	760	5089
130	765	5074
131	769	5061
132	775	5053
133	780	5042
134	784	5024
135	788	5009
136	793	4997
137	798	4986
138	802	4973
139	807	4958
140	811	4944
141	815	4928
142	821	4920
143	825	4909
144	829	4893
145	835	4884
146	840	4877
147	844	4862
148	849	4853
149	854	4840
150	859	4829
151	862	4813
152	868	4806
153	872	4792
154	877	4781
155	881	4769
156	884	4748
157	888	4733
158	892	4719
159	897	4710
160	901	4696
161	905	4683
162	909	4671
163	915	4668
164	918	4648
165	923	4637
166	927	4628
167	932	4620
168	938	4612
169	942	4600
170	948	4598
171	953	4590
172	957	4575
173	962	4566
174	965	4552
175	971	4546
176	975	4537
177	979	4521
178	984	4513
179	989	4507
180	994	4500
181	999	4491
182	1005	4487
183	1009	4478
184	1013	4466
185	1018	4458
186	1023	4450
187	1027	4439
188	1032	4429
189	1037	4421
190	1041	4412
191	1045	4399
192	1050	4394
193	1054	4382
194	1059	4372
195	1062	4357
196	1068	4355
197	1072	4346
198	1077	4336
199	1082	4329
200	1086	4318
201	1091	4310
202	1096	4304
203	1101	4296
204	1106	4289
205	1110	4278
206	1114	4270
207	1118	4258
208	1123	4251
209	1128	4245
210	1132	4234
211	1137	4226
