iter	Passed	Remaining
0	2	503
1	4	462
2	7	470
3	9	452
4	11	456
5	13	452
6	15	438
7	18	444
8	20	435
9	22	434
10	25	430
11	27	427
12	29	430
13	31	423
14	34	420
15	36	418
16	38	414
17	40	413
18	43	410
19	45	406
20	47	405
21	49	402
22	52	400
23	54	397
24	56	394
25	59	396
26	61	393
27	63	392
28	66	390
29	68	387
30	70	386
31	73	384
32	75	383
33	77	380
34	80	377
35	82	375
36	84	372
37	86	369
38	89	368
39	91	366
40	94	365
41	96	362
42	98	361
43	100	357
44	102	354
45	105	352
46	107	348
47	109	346
48	111	343
49	113	341
50	115	338
51	118	336
52	120	333
53	123	332
54	125	330
55	127	328
56	129	325
57	131	322
58	134	320
59	136	318
60	138	315
61	140	313
62	143	311
63	145	309
64	147	307
65	150	305
66	152	303
67	154	300
68	157	299
69	159	296
70	161	293
71	164	292
72	166	290
73	169	288
74	171	285
75	173	282
76	175	280
77	177	277
78	180	277
79	183	274
80	185	273
81	188	270
82	190	268
83	192	266
84	194	263
85	197	261
86	198	258
87	200	255
88	203	253
89	204	249
90	205	246
91	206	242
92	208	240
93	210	237
94	212	235
95	215	233
96	217	230
97	219	228
98	221	226
99	224	224
100	227	223
101	229	220
102	232	218
103	234	216
104	236	213
105	238	211
106	241	209
107	243	207
108	245	204
109	247	202
110	250	200
111	252	198
112	254	195
113	257	194
114	260	192
115	262	190
116	264	187
117	266	185
118	268	182
119	270	180
120	273	178
121	274	175
122	276	173
123	279	171
124	281	169
125	284	167
126	287	165
127	289	163
128	291	160
129	293	158
130	296	156
131	298	153
132	300	151
133	303	149
134	305	147
135	308	144
136	310	142
137	312	140
138	314	138
139	316	135
140	319	133
141	321	131
142	323	129
143	326	126
144	328	124
145	331	122
146	333	120
147	336	118
148	338	115
149	340	113
150	342	111
151	345	109
152	347	106
153	350	104
154	352	102
155	355	100
156	357	97
157	359	95
158	361	93
159	364	91
160	367	89
161	369	86
162	372	84
163	375	82
164	378	80
165	381	78
166	384	75
167	387	73
168	390	71
169	393	69
170	397	67
171	399	65
172	402	62
173	405	60
174	408	58
175	411	56
176	413	53
177	416	51
178	419	49
179	422	46
180	426	44
181	428	42
182	431	40
183	434	37
184	437	35
185	440	33
186	443	30
187	445	28
188	448	26
189	450	23
190	453	21
191	455	18
192	458	16
193	460	14
194	462	11
195	465	9
196	467	7
197	469	4
198	472	2
199	474	0
